,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),,,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),,,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),
132,Revista Clinica Espanola,journal,0.260 ,25,135,405,2825,214,246,0.87,20.93,
133,Revista de Historia Industrial,journal,0.260 ,8,22,96,1217,20,94,0.18,55.32,
134,Iberica,journal,0.259 ,17,9,62,352,40,58,0.51,39.11,
135,Investigaciones Regionales,journal,0.259 ,10,8,83,487,61,81,0.62,60.88,
136,Revista de Derecho Politico,journal,0.258 ,3,42,119,1690,19,114,0.17,40.24,
137,A & A case reports,journal,0.257 ,10,0,481,0,301,453,0.67,0.00,
138,Boletin de la Asociacion de Geografos Espanoles,journal,0.257 ,14,73,173,4088,79,172,0.38,56.00,
139,Journal of Human Sport and Exercise,journal,0.257 ,17,94,184,3060,142,183,0.77,32.55,
140,Revista Espanola de Sociologia,journal,0.255 ,7,37,88,1251,44,82,0.38,33.81,
141,Munibe Antropologia-Arkeologia,journal,0.252 ,3,0,59,0,23,59,0.39,0.00,
142,Revista Electronica Complutense de Investigacion Musical,journal,0.252 ,4,11,32,432,11,30,0.38,39.27,
143,European Journal of Psychiatry,journal,0.251 ,21,27,73,962,46,72,0.73,35.63,
144,OCNOS,journal,0.249 ,5,14,60,612,25,60,0.41,43.71,
145,Profesorado,journal,0.249 ,9,98,189,4038,72,189,0.30,41.20,
146,Jaen Journal on Approximation,journal,0.245 ,7,0,29,0,18,28,0.47,0.00,
147,Pyrenae,journal,0.245 ,2,6,46,636,12,44,0.22,106.00,
148,Revista de Psicologia del Deporte,journal,0.245 ,20,31,291,874,183,280,0.63,28.19,
149,Teorema,journal,0.245 ,6,39,85,668,22,83,0.13,17.13,
150,Revista Espanola de Geriatria y Gerontologia,journal,0.244 ,18,104,285,2381,162,233,0.53,22.89,
151,Informes de la Construccion,journal,0.243 ,14,37,204,952,99,197,0.35,25.73,
152,Teoria de la Educacion,journal,0.242 ,7,17,72,600,31,72,0.49,35.29,
153,Clinica e Investigacion en Arteriosclerosis,journal,0.241 ,9,42,134,1954,108,129,0.93,46.52,
154,Anuario de Psicologia Juridica,journal,0.239 ,6,10,44,498,26,41,0.52,49.80,
155,Kurdish Studies,journal,0.239 ,5,11,36,439,21,31,0.90,39.91,
156,Revista Espanola de Salud Publica,journal,0.238 ,32,82,193,215,97,178,0.53,2.62,
157,Sendebar,journal,0.237 ,4,13,36,438,11,34,0.38,33.69,
158,Revista Espanola de Anestesiologia y Reanimacion,journal,0.236 ,18,127,374,2013,158,308,0.53,15.85,
159,Procesamiento de Lenguaje Natural,journal,0.235 ,11,41,132,648,84,131,0.72,15.80,
160,Revista Espanola de Medicina Nuclear e Imagen Molecular,journal,0.235 ,18,99,299,1328,153,283,0.53,13.41,
161,Arqueologia Iberoamericana,journal,0.234 ,7,39,80,792,67,79,0.79,20.31,
162,Siglo Cero,journal,0.233 ,4,28,60,688,28,49,0.25,24.57,
163,Estudios Sobre el Mensaje Periodistico,journal,0.232 ,11,108,251,3306,60,245,0.17,30.61,
164,Anales de Pediatria,journal,0.231 ,30,248,607,3431,260,478,0.50,13.83,
165,Cuadernos de Gestion,journal,0.231 ,9,21,40,1593,44,40,0.86,75.86,
166,Archivos de la Sociedad Espanola de Oftalmologia,journal,0.230 ,21,188,533,2254,193,462,0.42,11.99,
167,Historia y Comunicacion Social,journal,0.230 ,6,36,95,1007,28,89,0.26,27.97,
168,Journal of New Approaches in Educational Research,journal,0.230 ,3,22,21,835,14,20,0.70,37.95,
169,"Arte, Individuo y Sociedad",journal,0.229 ,5,37,122,1196,19,120,0.17,32.32,
170,Revista Internacional de Sociologia,journal,0.229 ,14,27,82,1209,53,78,0.65,44.78,
171,Boletin de la Asociacion Internacional de Derecho Cooperativo,journal,0.228 ,4,19,40,462,18,40,0.58,24.32,
172,Complutum,journal,0.228 ,6,11,76,830,18,76,0.12,75.45,
173,Spanish Journal of Soil Science,journal,0.228 ,7,22,59,975,33,58,0.30,44.32,
174,RILCE. Revista de Filologia Hispanica,journal,0.226 ,5,51,99,2095,21,98,0.22,41.08,
175,Neurocirugia,journal,0.225 ,19,56,142,1283,62,121,0.54,22.91,
176,Digithum,journal,0.224 ,2,12,32,429,10,26,0.45,35.75,
177,Journal of Technology and Science Education,journal,0.224 ,3,38,68,1009,34,64,0.69,26.55,
178,Boletin Geoologico y Minero,journal,0.222 ,17,31,129,1808,68,129,0.31,58.32,
179,Medicina Clinica,journal,0.220 ,62,391,1237,6260,556,854,0.66,16.01,
180,Applied Econometrics and International Development,journal,0.217 ,8,16,71,630,25,71,0.25,39.38,
181,"Theoria: Revista de Teoria, Historia y Fundamentos de la Ciencia",journal,0.217 ,13,31,69,969,22,62,0.41,31.26,
182,Anales de Geografia de la Universidad Complutense,journal,0.215 ,5,19,49,985,19,49,0.42,51.84,
183,Revista Internacional de Metodos Numericos para Calculo y Diseno en Ingenieria,journal,0.214 ,8,30,103,798,32,103,0.34,26.60,
184,Ager,journal,0.212 ,4,5,33,244,22,33,0.24,48.80,
185,Revista Espanola de Pedagogia,journal,0.212 ,11,26,55,940,37,54,0.66,36.15,
186,Documents d' Analisi Geografica,journal,0.211 ,14,25,85,1249,48,82,0.63,49.96,
187,Regional and Sectoral Economic Studies,journal,0.209 ,10,14,48,558,31,48,0.27,39.86,
188,Culture and History Digital Journal,journal,0.208 ,4,12,41,377,27,39,0.69,31.42,
189,Salud y Drogas,journal,0.207 ,8,33,59,1291,37,59,0.51,39.12,
190,AIBR Revista de Antropologia Iberoamericana,journal,0.205 ,7,21,53,694,28,50,0.81,33.05,
191,Electronic Journal of Research in Educational Psychology,journal,0.205 ,22,1,89,26,47,89,0.50,26.00,
